assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
0,0,221.9,1,0,3,28,1050,1,1,81.2,1851,duo-fpp,48,46,0,0,3205,0,0,0,0,1753,4,1531,0.6383
0,0,200,1,1,0,17,0,2,1,15.95,1391,squad-fpp,28,28,1491,0,0,0,0,1,0,252.4,1,0,0.2222
1,0,155.9,1,0,0,37,0,1,1,7.59,1451,duo,47,45,1502,0,0,0,0,0,0,313.2,4,0,0.1739
0,3,206.7,2,2,7,9,0,3,1,29.69,1414,squad,29,26,1510,1,1688,0,0,0,0,773.6,5,0,0.7143
0,0,0,0,0,0,58,0,0,0,0,1853,solo-fpp,96,94,1525,0,0,0,0,0,0,1411,11,0,0.6105
0,0,142.1,0,0,0,35,0,1,1,25.24,1296,duo-fpp,48,44,1506,0,0,0,0,0,0,79.49,3,0,0.1702
0,0,100,1,0,1,32,0,1,1,4.218,1334,squad-fpp,29,27,1494,0,0,0,0,0,0,138.7,3,0,0.3214
0,1,184,1,0,1,43,1396,0,0,0,1899,squad-fpp,28,26,-1,0,3397,0,0,0,0,2395,4,1562,0.8519
1,1,200,1,0,1,33,0,1,1,2.339,1381,squad-fpp,28,28,1415,1,0,0,0,0,0,193.8,2,0,0.4444
0,0,0,0,0,0,72,0,0,0,0,1461,solo-fpp,93,93,1541,0,0,0,0,0,0,19.56,2,0,0.2717
1,0,200,2,0,0,41,1499,1,1,39.6,1835,squad-fpp,28,26,-1,0,0,0,0,0,0,262.7,2,1467,0
0,0,140.9,1,0,0,27,0,1,1,10.37,1364,duo-fpp,46,45,1539,0,0,0,0,0,0,1104,4,0,0.5333
0,0,55.28,0,0,0,46,1000,0,0,0,1368,solo-fpp,100,97,-1,0,0,0,0,0,0,1987,4,1500,0.8788
0,0,134.3,1,1,0,39,1000,1,1,13.24,1353,duo-fpp,48,47,-1,0,0,0,0,0,0,79.8,2,1500,0.1489
1,0,136.3,1,0,0,32,0,1,1,12.32,1337,duo-fpp,46,45,1830,1,0,0,0,0,0,158.8,3,0,0.2889
0,0,0,0,0,0,84,1150,0,0,0,1450,duo-fpp,50,50,-1,0,0,0,0,0,0,138.5,3,1472,0.2041
0,0,77.22,0,0,0,67,1461,0,0,0,1462,squad,29,28,-1,0,0,0,0,0,0,463.2,3,1521,0.3929
0,0,39.91,0,0,0,52,1316,0,0,0,1379,duo-fpp,49,49,-1,0,0,0,0,0,0,2407,8,1616,0.7708
0,0,395.5,0,0,0,11,0,0,0,0,1808,solo,19,2,1500,0,0,0,0,0,0,0,5,0,0
0,0,100,1,0,0,31,1456,1,1,1.886,1811,squad-fpp,30,30,-1,0,0,0,0,0,0,82.61,1,1539,0.1724
0,1,100,1,0,6,31,1000,1,1,13.1,2075,normal-squad-fpp,16,16,-1,0,1701,0,0,0,0,545.3,3,1500,0.0667
0,0,0,0,0,0,97,0,0,0,0,1448,solo,97,93,1500,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,90,0,0,0,0,1903,solo,93,90,1512,0,0,0,0,0,0,0,1,0,0.0109
0,0,100,0,1,0,32,0,1,1,100.2,1939,duo,46,42,1517,0,1436,0,0,1,0,1130,5,0,0.3778
0,0,0,0,0,0,80,1238,0,0,0,1724,squad-fpp,29,28,-1,0,0,0,0,0,0,330.8,1,1491,0.1429
0,2,229.1,1,0,1,31,1318,1,1,3.661,1773,squad-fpp,27,26,-1,0,3072,0,0,0,0,2265,6,1449,0.6538
0,0,0,0,0,2,74,0,0,0,0,1838,duo-fpp,48,48,1489,0,0,0,0,0,0,387.1,2,0,0.234
3,0,316.5,3,1,1,8,1018,3,2,94.34,1317,squad,30,29,-1,0,0,0,0,0,0,2585,8,1503,1
1,2,216.9,1,0,8,37,1331,1,1,3.942,1437,squad-fpp,30,30,-1,2,0,0,68.27,0,0,1404,3,1570,0.6897
1,2,0,0,0,1,54,0,0,0,0,1795,squad-fpp,29,27,1474,0,0,0,0,0,0,2352,7,0,0.5
0,1,0,0,0,0,88,1162,0,0,0,1797,duo-fpp,48,45,-1,0,0,0,0,0,0,75.47,4,1466,0.1064
0,0,33.71,0,0,0,85,0,0,0,0,2007,duo-fpp,45,44,1461,0,0,0,0,0,0,45.49,1,0,0.0454
0,1,0,0,0,8,65,0,0,0,0,1845,duo-fpp,48,44,1477,0,0,0,0,0,0,230.6,1,0,0.2766
0,1,56.73,0,1,0,34,0,1,1,23,1406,duo-fpp,49,47,1490,0,0,0,0,0,0,773.1,6,0,0.5208
0,0,0,0,0,0,64,0,0,0,0,1952,squad-fpp,27,27,1388,0,3007,0,0,0,0,1797,4,0,0.4231
0,4,240.8,0,0,1,14,0,2,1,25.4,2005,solo,98,94,1528,0,4411,0,0,0,0,2752,6,0,0.9175
0,3,459.8,5,0,4,2,1523,5,1,145.5,1358,squad-fpp,32,31,-1,0,0,0,0,0,0,1744,4,1515,0.8387
0,0,0,0,0,0,53,0,0,0,0,1863,duo-fpp,50,50,1595,0,0,0,0,0,0,1512,6,0,0.6735
1,0,132.6,0,0,0,68,0,0,0,0,1815,duo-fpp,49,44,1520,0,0,0,0,0,0,389.7,3,0,0.2917
0,0,33.05,1,0,0,61,0,0,0,0,1323,duo,47,46,1549,0,0,0,0,0,0,680.1,4,0,0.4348
0,2,48.02,0,1,2,24,0,1,1,55.66,1733,solo-fpp,98,95,1491,0,2433,0,0,0,0,2203,4,0,0.9175
0,0,0,0,0,0,48,0,0,0,0,1403,duo-fpp,48,47,1448,0,0,0,0,0,0,1.286,1,0,0.766
0,1,134.9,1,0,0,57,1514,0,0,0,1368,squad-fpp,31,31,-1,0,1260,0,0,0,0,1246,3,1643,0.5
0,0,370,3,0,0,22,1686,2,2,8.542,1371,squad-fpp,29,29,-1,0,0,0,0,0,0,446.8,3,1554,0.4643
0,0,95.55,0,0,1,52,0,0,0,0,1302,solo-fpp,88,88,1500,0,0,0,0,0,0,449.6,6,0,0.5057
0,0,0,0,0,0,77,0,0,0,0,1444,squad-fpp,32,31,1438,0,0,0,0,0,0,174,2,0,0.2258
0,0,100,1,0,0,72,0,0,0,0,1384,squad-fpp,29,29,1194,0,0,0,0,0,0,177.8,3,0,0.2857
0,0,294,0,1,0,19,0,2,2,6.653,1852,solo-fpp,90,87,1547,0,0,0,0,0,0,76.06,2,0,0.2472
0,0,117,0,0,0,62,0,0,0,0,2172,squad-fpp,28,26,1467,0,733.9,0,0,0,0,1500,1,0,0.3333
0,0,62.35,0,0,0,89,0,0,0,0,1397,squad-fpp,27,26,1483,0,0,0,0,0,0,19.48,2,0,0.0769
0,0,0,0,0,0,73,0,0,0,0,1807,squad-fpp,26,23,1541,0,0,0,0,0,0,80.73,2,0,0.16
0,2,0,0,0,1,52,0,0,0,0,1854,solo-fpp,99,95,1513,0,1234,0,0,0,0,3640,6,0,0.8776
0,2,270.1,3,1,1,2,0,5,2,58.31,1411,duo,48,46,1459,1,0,0,0,0,0,713.8,3,0,0.617
0,0,0,0,0,4,67,0,0,0,0,1370,duo-fpp,48,45,1500,0,0,0,0,0,0,242.5,1,0,0.3617
0,0,93.02,0,0,0,67,0,0,0,0,1362,duo-fpp,46,44,1500,0,0,0,0,0,0,216.7,2,0,0.3778
0,0,35.31,0,0,0,65,1023,0,0,0,1435,solo,98,97,-1,0,0,0,0,0,0,1413,4,1501,0.4948
0,4,249.6,0,0,1,28,1325,1,1,37.82,1427,solo-fpp,96,95,0,0,0,0,0,0,0,2292,5,1578,0.8947
0,2,65.19,0,1,3,35,0,1,1,2.612,1370,duo-fpp,49,49,1494,0,0,0,0,0,0,499,4,0,0.5625
3,0,150.8,1,1,0,27,0,1,1,34.98,2095,squad-fpp,30,28,1354,0,0,0,0,0,0,1470,2,0,0.7931
0,0,61.92,0,0,0,91,1143,0,0,0,1434,squad,27,25,-1,0,0,0,0,0,0,40.08,1,1422,0
1,0,0,0,0,1,45,986,0,0,0,1265,squad-fpp,26,25,-1,1,0,0,0,0,0,2327,9,1451,0.72
0,0,36.19,0,0,0,67,1002,0,0,0,1989,duo-fpp,47,44,-1,0,0,0,0,0,0,520.2,3,1498,0.2826
0,0,100,1,0,0,38,0,1,1,5.107,1958,duo-fpp,49,49,1523,0,0,0,0,0,0,214.7,2,0,0.1875
1,3,223.9,2,1,1,7,0,3,1,170.2,1368,squad-fpp,31,30,1492,0,0,0,96.85,0,0,2495,6,0,1
0,3,20.4,0,0,8,54,1032,0,0,0,1913,squad,34,32,-1,0,4035,0,0,0,0,2269,11,1428,0.6364
0,0,148.7,0,0,0,23,0,1,1,85.2,1411,squad-fpp,32,30,1482,0,0,0,0,0,0,2351,4,0,0.9032
0,0,0,0,0,0,37,0,0,0,0,1246,normal-squad,10,10,1500,0,0,0,0,0,0,141.8,1,0,0
0,0,77.15,0,0,0,62,0,0,0,0,1326,squad-fpp,26,24,1527,0,656.3,0,0,0,0,337.6,2,0,0.48
0,0,158.2,2,0,0,26,0,2,2,12.94,1347,squad-fpp,32,31,1485,0,0,0,0,0,0,48.53,1,0,0.0968
0,0,0,0,0,1,49,1080,0,0,0,1888,squad-fpp,25,25,-1,0,1522,0,0,0,0,1829,5,1489,0.6667
0,4,0,0,0,1,41,1061,0,0,0,1374,squad,29,28,-1,0,133.9,0,14.09,0,0,2807,3,1510,0.9286
0,0,238,1,1,0,17,0,2,2,11.26,1820,squad-fpp,30,29,1496,0,0,0,0,1,0,295.7,3,0,0.2759
0,0,32.31,0,0,1,54,0,0,0,0,1517,duo-fpp,48,43,1591,0,0,0,0,0,0,1141,3,0,0.4255
0,0,0,0,0,0,93,1166,0,0,0,1339,squad-fpp,26,26,-1,0,0,0,0,0,0,25.53,1,1500,0
0,0,0,0,0,0,79,0,0,0,0,1381,solo-fpp,93,93,1500,0,0,0,0,0,0,205.6,0,0,0.1739
0,0,0,0,0,0,88,1486,0,0,0,1364,squad-fpp,27,27,0,0,0,0,0,0,0,65.44,2,1446,0.0385
0,2,160.4,1,1,0,22,1208,1,1,7.849,1770,squad,31,30,-1,0,0,0,0,0,0,3644,2,1489,0.7667
0,0,0,0,0,0,49,1106,0,0,0,1298,squad-fpp,30,28,-1,0,0,0,0,0,0,3.459,2,1442,0.7586
0,1,205.7,1,1,6,33,1115,1,1,133.5,1265,squad-fpp,28,28,-1,0,0,0,0,0,0,1648,4,1496,0.5556
0,1,421.9,2,2,0,14,0,2,2,1.981,835,crashfpp,49,45,1500,0,2.258,0,0,0,0,1188,1,0,0.2708
0,0,25.8,0,0,0,62,1097,0,0,0,1963,solo-fpp,98,95,-1,0,177.8,0,0,0,0,918.4,2,1522,0.5155
0,2,0,0,0,4,61,0,0,0,0,1956,squad,28,27,1294,0,0,0,0,0,0,3140,3,0,0.3333
1,0,106.6,0,0,0,79,1212,0,0,0,1446,squad-fpp,29,29,0,0,0,0,0,0,0,33.72,2,1421,0.1429
0,0,175,1,0,1,19,0,2,1,15.77,1893,duo-fpp,45,43,1515,0,0,0,0,0,0,231.9,2,0,0.1591
0,0,178.6,2,1,1,23,1154,2,1,8.902,1353,squad-fpp,27,26,-1,0,0,0,0,0,0,121,2,1504,0.0385
0,0,0,1,0,0,69,0,0,0,0,1906,squad-fpp,28,25,1455,0,2417,0,0,0,0,19.17,0,0,0.2593
0,0,0,0,0,0,81,0,0,0,0,1355,solo-fpp,90,88,1483,0,0,0,0,0,0,64.53,2,0,0.1236
0,0,0,0,0,2,51,0,0,0,0,1890,squad-fpp,28,28,1480,0,1667,0,0,0,0,2264,7,0,0.6296
1,0,348.1,3,0,0,7,0,3,2,31.08,1853,squad-fpp,26,26,1487,0,1186,0,0,0,1,2583,6,0,1
1,3,358,2,2,2,3,0,4,2,62.64,1526,duo,49,46,1516,1,0,0,0,0,0,2875,7,0,0.9792
0,0,49.45,0,0,0,63,0,0,0,0,1842,duo-fpp,49,46,1468,0,0,0,0,0,0,654.5,4,0,0.4792
0,0,49.02,0,0,0,33,0,1,1,4.371,1326,squad-fpp,27,27,1486,0,0,0,0,0,0,1435,3,0,0.5385
0,2,3.353,0,0,2,58,1193,0,0,0,1462,duo,48,46,-1,0,876.3,0,0,0,0,799.8,3,1496,0.4255
0,2,0,0,0,1,49,0,0,0,0,1725,squad-fpp,26,24,1469,0,1250,0,0,0,0,2880,10,0,0.68
0,2,30.92,0,0,1,52,0,0,0,0,1461,duo,49,46,1610,0,0,0,0,0,0,1820,4,0,0.7083
0,2,133.6,1,1,1,15,0,2,2,4.544,1403,duo,47,47,1535,1,0,0,0,0,0,1314,6,0,0.8043
0,0,0,0,0,0,97,0,0,0,0,1381,squad,28,27,1353,0,0,0,0,0,0,33.42,1,0,0
0,0,0,0,0,0,79,0,0,0,0,1873,squad-fpp,27,26,1304,0,0,0,0,0,0,401.1,5,0,0.1538
0,0,0,0,0,0,79,1192,0,0,0,2026,solo-fpp,94,91,-1,0,0,0,0,0,0,151.2,4,1407,0.1828
0,7,456.1,3,0,8,14,1040,1,1,19.97,1893,squad,29,25,-1,0,3859,0,0,0,0,2881,5,1505,0.9643
0,0,0,0,0,1,57,0,0,0,0,1963,duo-fpp,47,43,1467,0,1773,0,0,0,0,1128,5,0,0.5217
0,2,214.3,1,0,1,51,0,0,0,0,1869,squad-fpp,28,28,1500,0,4913,0,0,0,0,3539,6,0,0.8519
1,2,75.78,1,0,3,24,1355,1,1,117.4,1353,squad-fpp,27,25,-1,1,0,0,0,0,0,2195,3,1481,0.8077
1,0,21.95,0,0,0,54,1611,0,0,0,1427,squad-fpp,28,27,-1,0,0,0,0,0,0,2284,10,1567,0.6667
0,3,373.9,4,2,3,5,1426,4,2,210.9,1243,squad-fpp,29,28,-1,0,0,0,0,0,0,3008,3,1502,0.8214
0,0,100,0,0,0,27,0,1,1,50.71,1381,solo-fpp,93,91,1576,0,0,0,0,0,0,1576,7,0,0.8261
0,0,96.15,1,0,0,35,0,1,1,66.29,1374,squad-fpp,27,27,1335,0,0,0,0,0,0,318.4,4,0,0.3846
0,0,152.1,0,1,0,27,1059,1,1,84.88,1521,solo,96,94,0,0,0,0,69.46,0,0,1297,8,1447,0.7474
0,0,140.8,0,0,0,39,0,1,1,15.57,1424,solo-fpp,97,95,1521,0,0,0,0,0,0,151.5,3,0,0.3229
1,0,21.93,0,0,0,64,0,0,0,0,1456,solo,95,93,1523,0,0,0,0,0,0,938.2,7,0,0.5319
0,2,129.7,2,1,4,21,0,2,1,105.3,1974,squad,28,28,1434,0,0,0,0,0,0,865.1,5,0,0.2963
0,0,0,0,0,0,63,1263,0,0,0,1263,squad-fpp,28,28,-1,0,0,0,0,0,0,600.5,5,1510,0.4815
0,1,0,0,0,1,78,0,0,0,0,1765,squad-fpp,30,30,1490,0,0,0,0,0,0,311.7,4,0,0.1034
2,1,49.26,0,0,10,49,1134,0,0,0,1394,squad-fpp,30,30,-1,0,328.1,0,0,0,0,2766,6,1449,0.7586
1,3,181.8,1,2,4,16,0,2,1,200.9,1805,duo-fpp,48,44,1518,0,3462,0,0,0,0,1987,8,0,0.7021
0,1,0,0,0,0,74,1080,0,0,0,1651,squad-fpp,31,27,-1,0,0,0,0,0,0,399.1,5,1451,0.1667
0,0,0,0,0,0,53,0,0,0,0,1339,squad-fpp,29,29,1465,0,489.8,0,0,0,0,1865,3,0,0.7857
0,0,91,1,1,0,34,0,1,1,8.409,1291,squad-fpp,29,29,1331,0,0,0,0,0,0,678.8,4,0,0.5714
0,0,0,0,0,0,64,0,0,0,0,1383,squad-fpp,30,29,1576,0,0,0,0,0,0,737.5,4,0,0.3448
0,0,0,0,0,0,88,1298,0,0,0,1879,duo-fpp,48,45,-1,0,0,0,0,0,0,66.41,0,1482,0.0851
0,0,100,1,0,0,95,1000,0,0,0,1393,squad-fpp,27,26,-1,0,0,0,0,0,0,4.854,2,1500,0
0,1,26.12,1,0,0,29,0,1,1,17.46,1840,duo-fpp,43,43,1483,0,0,0,0,1,0,1098,3,0,0.3571
0,8,173.4,1,0,5,12,1494,2,1,63.75,1329,squad-fpp,30,30,-1,0,732.4,0,0,0,0,3641,3,1483,0.9655
0,5,112.6,1,0,4,22,1321,1,1,20.59,1443,squad,31,27,-1,0,0,0,0,0,0,2937,11,1550,0.9333
0,0,166.6,0,0,0,75,1138,0,0,0,1745,squad,27,26,-1,0,0,0,0,0,0,247,3,1445,0.1154
0,2,414.6,3,2,9,9,0,3,2,25.25,1969,squad,26,26,1232,1,2417,0,0,0,0,1611,6,0,0.64
0,4,512.6,0,0,4,2,0,6,1,55.66,1358,solo-fpp,97,94,1522,0,0,0,0,0,0,3452,4,0,1
0,0,64.93,0,0,0,93,0,0,0,0,1375,squad-fpp,30,30,1397,0,0,0,0,0,0,87.1,2,0,0
2,1,276.8,1,1,2,33,0,1,1,4.05,1976,squad-fpp,30,27,1487,1,0,0,0,1,0,464.8,2,0,0.2759
0,0,0,0,0,0,61,0,0,0,0,1921,solo,93,85,1500,0,1924,0,0,1,0,809.7,6,0,0.3696
0,0,0,0,0,0,88,0,0,0,0,1429,duo-fpp,47,45,1472,0,0,0,0,0,0,56.01,0,0,0.0435
0,3,313.1,0,0,10,16,0,2,1,56.95,1828,solo-fpp,95,91,1498,0,0,0,0,0,0,1426,2,0,0.7234
1,1,475.9,3,1,1,5,0,5,3,24.55,1894,squad-fpp,29,27,1503,0,0,0,0,0,0,2284,4,0,0.5
1,0,172.2,1,1,0,32,0,1,1,20.8,1324,squad-fpp,29,29,1478,0,0,0,0,0,0,309.8,1,0,0.6071
